Name,Drop_ft,Speed_mph
Millennium Force,300,93
Goliath,255,85
Titan,255,85
Phantom's Revenge,228,82
Xcelerator,130,82
Desperado,225,80
HyperSonic XLC,133,80
Nitro,215,80
Phantom's Revenge,225,80
Son Of Beast,214,78.4
Superman - Ride Of Steel,221,77
X,215,76
Mamba,205,75
Steel Force,205,75
Wild Thing,196,74
Apollo's Chariot,210,73
Raging Bull,208,73
Rattler,166.5,73
Superman - Ride Of Steel,205,73
Magnum XL-200,194.6,72
Viper,171,70
"Volcano, The Blast Coaster",80,70
Great American Scream Machine,155,68
Alpengeist,170,67
Incredible Hulk,105,67
Manhattan Express,144,67
Boss,150,66.3
American Eagle,147,66
Wildfire,155,66
Deja Vu,177,65.6
Batman Knight Flight,148,65
Hercules,151,65
Kraken,144,65
Mean Streak,155,65
Medusa,150,65
Orient Express,115,65
Rattler,124,65
Riddler's Revenge,146,65
Steel Eel,150,65
Texas Giant,137,65
Beast,141,64.8
Chang,144,63
Scream!,141,63
Tennessee Tornado,128,63
Colossus,115,62
Screamin' Eagle,92,62
Hangman,95,55
Hurricane,100,55
Invertigo,138,55
Iron Wolf,90,55
Kong,95,55
Mind Eraser,95,55
Silver Bullet,75,55
Starliner,76,55
T2,95,55
Thunderbolt,95,55
Timber Wolf,95,53
Wild One,88,53
Cheetah,90,52
Cannon Ball,70,50
Coaster Thrill Ride,52,50
Comet,78,50
ew Mexico Rattler,75,47
Corkscrew,62,46
Afterburner,47,45
Whizzer,64,42
Canyon Blaster,66,41
Blue Streak,72,40
Steel Dragon 2000,306.75,95
Thunder Dolphin,218.1,80.8
Titan,178,71.5
Oblivion,180,68
Stunt Fall,177,65.6
Hayabusa,124.67,60.3
Top Gun,93,56
